h3_id,demand_pressure,dispatch_orders,mean_duration_min
88411c18bdfffff,4.199999999999999,50.0,18.56
88411c04c9fffff,9.450000000000001,336.0,19.014880952380953
88411caaabfffff,0.7000000000000001,873.0,20.761741122565866
88411ca0b1fffff,4.2,747.0,23.87817938420348
88411c16a7fffff,0.5,558.0,17.1415770609319
88411c06a5fffff,106.05000000000003,551.0,17.23049001814882
88411c1491fffff,99.25,461.0,24.09761388286334
88411c1883fffff,28.250000000000004,26.0,17.153846153846153
88411c166dfffff,26.200000000000003,857.0,12.094515752625437
88411cac4dfffff,46.4,4756.0,23.572750210260722
88411c066bfffff,143.45,1519.0,17.827518104015798
88411c0063fffff,0.6499999999999999,28.0,20.892857142857142
88411c16e1fffff,14.250000000000002,912.0,9.93421052631579
88411caa37fffff,122.89999999999999,2682.0,19.049962714392244
88411c0455fffff,2.0,154.0,17.09090909090909
88411cae29fffff,6.7,2395.0,22.772025052192067
88411c02edfffff,74.89999999999999,343.0,16.807580174927114
88411c3421fffff,1.0,2.0,43.5
88411c141dfffff,23.45,171.0,15.514619883040936
88411c041bfffff,81.94999999999999,815.0,21.45889570552147
88411c2209fffff,152.85000000000002,970.0,11.068041237113402
88411ca9c3fffff,51.85000000000001,1426.0,27.775596072931275
88411c31d1fffff,19.7,79.0,19.27848101265823
88411cadb5fffff,0.6,1151.0,19.705473501303214
88411ca989fffff,86.05,3950.0,25.267848101265823
88411c3197fffff,43.79999999999999,165.0,16.55757575757576
88411c1193fffff,2.9,148.0,19.804054054054053
88411cab65fffff,94.85000000000001,1738.0,17.390103567318757
88411caf57fffff,121.89999999999999,1637.0,21.6139279169212
88411caae5fffff,7.95,383.0,24.065274151436032
88411c3765fffff,1.2000000000000002,235.0,19.4
88411c1505fffff,8.85,181.0,20.646408839779006
88411c036dfffff,0.0,11.0,16.545454545454547
88411cad41fffff,0.5000000000000001,14.0,16.142857142857142
88411c3509fffff,119.35,1040.0,15.370192307692308
88411c3339fffff,3.6499999999999995,223.0,15.331838565022421
88411c1113fffff,31.050000000000004,336.0,12.875
88411c0719fffff,5.05,139.0,17.0
88411ca915fffff,65.6,7069.0,24.38392983448861
88411c3117fffff,22.6,129.0,14.992248062015504
88411c3515fffff,48.199999999999996,358.0,19.075418994413408
88411c1511fffff,176.45,1404.0,11.83048433048433
88411c0327fffff,194.3,101.0,11.752475247524753
88411ca8dbfffff,42.65,2442.0,13.596642096642096
88411ca909fffff,194.45000000000002,4144.0,19.598938223938223
88411c30e9fffff,31.850000000000005,37.0,19.72972972972973
88411c16edfffff,0.75,399.0,12.862155388471178
88411c06ebfffff,34.75,577.0,22.998266897746966
88411c232bfffff,0.3,7.0,19.0
88411ca0bdfffff,22.45,1864.0,16.574570815450645
88411caab7fffff,1.5,1075.0,20.746976744186046
88411c32c5fffff,3.25,2.0,12.0
88411c10abfffff,2.2000000000000006,16.0,12.1875
88411ca125fffff,19.400000000000002,4016.0,17.866782868525895
88411c1aa5fffff,14.650000000000002,87.0,14.816091954022989
88411c149dfffff,76.24999999999999,2177.0,19.025723472668812
88411c049bfffff,38.8,129.0,22.968992248062015
88411c1287fffff,63.449999999999996,98.0,9.193877551020408
88411ca867fffff,146.39999999999998,3661.0,24.460256760447965
88411c3543fffff,52.300000000000004,776.0,15.481958762886597
88411c3467fffff,41.45,334.0,17.51197604790419
88411caa43fffff,150.25000000000003,3166.0,18.624447252053063
88411c1855fffff,12.45,82.0,18.597560975609756
88411ca82dfffff,97.35,5795.0,21.57825711820535
88411c024bfffff,0.8500000000000001,62.0,17.0
88411c3151fffff,4.550000000000001,252.0,19.246031746031747
88411cc61bfffff,0.35,53.0,12.924528301886792
88411c1037fffff,0.0,78.0,13.871794871794872
88411c1a31fffff,2.7999999999999994,310.0,17.370967741935484
88411c0361fffff,0.1,24.0,15.666666666666666
88411c3759fffff,106.45,1496.0,19.032085561497325
88411ca943fffff,45.85,5085.0,18.51858407079646
88411c1363fffff,28.799999999999997,120.0,10.183333333333334
88411caa09fffff,143.44999999999996,4898.0,18.14107799101674
88411c2215fffff,16.800000000000004,336.0,21.095238095238095
88411c0211fffff,68.04999999999998,1086.0,14.965009208103131
88411caf4bfffff,47.75,13034.0,22.43087310112015
88411c3001fffff,0.6,114.0,22.087719298245613
88411cadc1fffff,40.05,1823.0,21.2029621503017
88411ca1b1fffff,116.7,15658.0,20.824562523949417
88411c31a3fffff,92.8,877.0,12.961231470923604
88411cad87fffff,50.55,1273.0,19.791830322073842
88411c1591fffff,13.200000000000003,427.0,18.74473067915691
88411ca95bfffff,66.49999999999999,2377.0,21.536811106436684
88411cad4dfffff,0.55,2.0,48.5
88411c1165fffff,0.0,19.0,20.0
88411c355bfffff,35.849999999999994,192.0,17.859375
88411cab37fffff,0.0,1348.0,21.649109792284868
88411c3345fffff,49.00000000000001,589.0,18.485568760611205
88411c1187fffff,24.799999999999994,201.0,16.29850746268657
88411c8b33fffff,0.6,1.0,25.0
88411caf29fffff,11.2,4440.0,19.35427927927928
88411c2343fffff,14.149999999999999,410.0,16.860975609756096
88411ca921fffff,122.15,3671.0,21.855080359575048
88411c3737fffff,155.05,852.0,17.039906103286384
88411c1733fffff,27.85,83.0,18.180722891566266
88411c318bfffff,28.450000000000003,99.0,17.91919191919192
88411c112bfffff,3.5000000000000004,115.0,16.191304347826087
88411c151dfffff,128.5,1894.0,13.325237592397043
88411c1307fffff,0.05,1.0,12.0
88411c0305fffff,0.05,24.0,18.958333333333332
88411cc6d5fffff,9.150000000000002,2.0,25.0
88411c1aebfffff,7.7,300.0,16.37
88411c14e3fffff,43.4,715.0,20.723076923076924
88411caac3fffff,3.75,1702.0,20.805522914218567
88411c04e1fffff,17.25,162.0,18.135802469135804
88411c32d1fffff,0.0,183.0,17.398907103825138
88411ca8adfffff,6.35,148.0,18.27027027027027
88411c02cbfffff,4.999999999999999,375.0,15.826666666666666
88411c06bdfffff,76.85000000000001,293.0,18.703071672354948
88411caa89fffff,47.50000000000001,2127.0,20.54254818993888
88411c189bfffff,49.95000000000001,198.0,14.792929292929292
88411c1293fffff,16.200000000000003,54.0,13.074074074074074
88411c15b3fffff,64.95,409.0,13.493887530562347
88411cac65fffff,247.8,3377.0,17.512585134734973
88411c0683fffff,37.1,308.0,23.142857142857142
88411cae41fffff,6.1000000000000005,400.0,20.7425
88411c225bfffff,44.10000000000001,675.0,17.63259259259259
88411c0257fffff,28.050000000000004,442.0,18.570135746606336
88411c3047fffff,3.9000000000000004,257.0,20.929961089494164
88411c11c1fffff,0.5,64.0,13.734375
88411c0041fffff,110.8,397.0,17.183879093198993
88411caa15fffff,3.95,5485.0,24.80729261622607
88411c3223fffff,140.45,837.0,11.93667861409797
88411cae07fffff,3.75,447.0,25.340044742729308
88411c2221fffff,66.4,334.0,19.017964071856287
88411c300dfffff,0.1,14.0,21.142857142857142
88411ca9dbfffff,0.0,1.0,51.0
88411c31e9fffff,16.2,230.0,19.704347826086956
88411cadcdfffff,29.950000000000003,288.0,21.635416666666668
88411c11e5fffff,1.55,331.0,16.410876132930515
88411cb9a3fffff,314.0,5830.0,18.998627787307033
88411ca9a1fffff,89.75,1314.0,24.60882800608828
88411c159dfffff,1.35,39.0,18.692307692307693
88411ca967fffff,47.9,1372.0,21.350583090379008
88411cad59fffff,48.49999999999999,356.0,18.297752808988765
88411c1563fffff,16.150000000000002,80.0,22.675
88411c3351fffff,15.500000000000002,75.0,17.053333333333335
88411caf35fffff,69.2,3788.0,22.760295670538543
88411c134dfffff,1.2000000000000002,41.0,20.75609756097561
88411c034bfffff,52.300000000000004,204.0,15.818627450980392
88411c313bfffff,23.000000000000004,136.0,14.463235294117647
88411c8929fffff,2.5999999999999996,14.0,17.5
88411c1529fffff,3.2499999999999996,293.0,21.675767918088738
88411cab09fffff,58.199999999999996,623.0,22.784911717495987
88411cade3fffff,88.99999999999999,466.0,21.401287553648068
88411c89edfffff,0.5,22.0,13.363636363636363
88411c04edfffff,57.20000000000001,106.0,20.047169811320753
88411c30c7fffff,0.25,9.0,18.11111111111111
88411c06c9fffff,39.349999999999994,3593.0,24.028388533259115
88411c1411fffff,40.1,1178.0,17.971986417657046
88411cd493fffff,0.35,1.0,39.0
88411caa95fffff,17.150000000000002,1575.0,19.29904761904762
88411c001dfffff,60.5,71.0,16.845070422535212
88411c1a19fffff,5.949999999999999,78.0,16.94871794871795
88411cac07fffff,169.74999999999997,4959.0,18.850574712643677
88411caa5bfffff,25.349999999999998,1524.0,23.238845144356954
88411c2267fffff,4.700000000000001,29.0,17.620689655172413
88411c0233fffff,151.95000000000005,941.0,17.71094580233794
88411ca815fffff,0.35,921.0,21.344191096634095
88411cac37fffff,58.949999999999996,2551.0,17.475891807134456
88411c3445fffff,29.050000000000004,893.0,20.949608062709967
88411c004dfffff,60.650000000000006,425.0,15.070588235294117
88411cae1dfffff,7.699999999999999,14.0,24.071428571428573
88411caa21fffff,1.85,3752.0,18.92457356076759
88411c3239fffff,3.4,781.0,12.247119078104994
88411c222dfffff,17.8,273.0,15.113553113553113
88411c0229fffff,2.6000000000000005,725.0,16.008275862068967
88411c3019fffff,0.15000000000000002,4.0,21.0
88411c3a13fffff,2.849999999999999,64.0,18.90625
88411c0449fffff,10.75,102.0,17.284313725490197
88411c061bfffff,0.49999999999999994,1711.0,23.72998246639392
88411caa2bfffff,37.550000000000004,5306.0,21.71673577082548
88411c1407fffff,1.7,45.0,15.088888888888889
88411ca9e7fffff,221.70000000000002,4338.0,16.778008298755186
88411c0405fffff,12.1,27.0,23.814814814814813
88411cadd9fffff,187.25,3578.0,16.76607043040805
88411ca9adfffff,198.75,2606.0,19.845740598618573
88411c1a53fffff,1.55,98.0,13.622448979591837
88411c31bbfffff,93.25,427.0,15.140515222482435
88411c89a9fffff,0.05,3.0,18.333333333333332
88411c335dfffff,89.14999999999999,581.0,17.394148020654043
88411c1661fffff,96.80000000000001,399.0,10.731829573934837
88411c305dfffff,51.64999999999999,522.0,17.369731800766285
88411c235bfffff,55.800000000000004,472.0,16.709745762711865
88411c0357fffff,120.70000000000002,674.0,15.600890207715134
88411c8935fffff,15.649999999999999,133.0,11.421052631578947
88411c026dfffff,3.8499999999999996,47.0,15.446808510638299
88411c174bfffff,1.0999999999999999,176.0,13.829545454545455
88411c3665fffff,0.0,17.0,12.941176470588236
88411c0141fffff,14.850000000000001,191.0,20.780104712041886
88411c1535fffff,1.55,39.0,17.615384615384617
88411cab15fffff,3.1500000000000004,15.0,21.066666666666666
88411cae57fffff,20.5,124.0,19.774193548387096
88411c031dfffff,30.8,786.0,16.585241730279897
88411c1711fffff,0.0,2.0,9.5
88411caa65fffff,384.49999999999994,2835.0,16.14215167548501
